iteration,wolf_id,filter_size,filters,dilation,final_neurons,dropout,fitness
1,1,5,8,2,128,0.3682,0.892000
1,2,5,64,1,128,0.0149,0.924600
1,3,3,32,1,128,0.3249,0.912400
1,4,5,16,2,256,0.0032,0.903200
1,5,7,32,2,64,0.4786,0.892000
1,6,5,8,1,512,0.3019,0.907600
1,1,7,16,1,256,0.4690,0.907000
1,2,5,16,1,64,0.2229,0.904200
1,3,5,32,1,512,0.2414,0.915800
1,4,7,16,1,64,0.1311,0.901600
1,5,3,16,2,256,0.3807,0.904800
1,6,5,64,1,256,0.0350,0.917800
2,1,5,64,1,128,0.3556,0.917200
2,2,3,16,1,512,0.2506,0.909200
2,3,5,16,1,512,0.4138,0.917600
2,4,3,16,1,256,0.2557,0.917400
2,5,7,32,1,256,0.0000,0.911400
2,6,5,8,1,512,0.5000,0.906200
3,1,7,32,1,128,0.2460,0.914200
3,2,5,16,1,128,0.4026,0.907600
3,3,7,8,1,256,0.5000,0.902000
3,4,7,16,1,128,0.2883,0.904600
3,5,5,16,1,256,0.1974,0.913000
3,6,3,8,1,64,0.3847,0.885800
4,1,5,16,1,256,0.2721,0.913000
4,2,5,16,1,256,0.0222,0.913400
4,3,7,32,1,256,0.2369,0.915800
4,4,7,16,1,256,0.3592,0.910600
4,5,5,16,1,256,0.2959,0.913400
4,6,5,32,1,256,0.4049,0.920200
5,1,7,32,1,256,0.3339,0.914800
5,2,7,16,1,256,0.5000,0.915000
5,3,7,32,1,256,0.5000,0.915000
5,4,5,32,1,256,0.2845,0.915200
5,5,5,16,1,256,0.4383,0.913000
5,6,5,16,1,512,0.2833,0.913200
6,1,5,32,1,256,0.4311,0.919600
6,2,7,16,1,128,0.4900,0.901000
6,3,7,16,1,256,0.4406,0.905800
6,4,7,16,1,256,0.3630,0.908600
6,5,7,32,1,256,0.3548,0.911000
6,6,5,16,1,256,0.2139,0.909000
7,1,5,16,1,128,0.2291,0.908000
7,2,5,32,1,256,0.2773,0.915600
7,3,5,32,1,256,0.3908,0.919200
7,4,5,16,1,256,0.4138,0.911400
7,5,5,32,1,128,0.3284,0.915800
7,6,5,32,1,256,0.3008,0.918800
8,1,5,32,1,256,0.3497,0.921000
8,2,5,32,1,256,0.3057,0.918600
8,3,5,32,1,256,0.2612,0.918800
8,4,5,32,1,256,0.3233,0.917600
8,5,5,32,1,256,0.3317,0.918800
8,6,5,32,1,256,0.3192,0.914400
9,1,5,32,1,256,0.3089,0.920800
9,2,5,32,1,256,0.3122,0.916600
9,3,5,32,1,256,0.3350,0.917800
9,4,5,32,1,256,0.3140,0.915000
9,5,5,32,1,256,0.3116,0.920000
9,6,5,32,1,256,0.3081,0.916800
10,1,5,32,1,256,0.3185,0.914400
10,2,5,32,1,256,0.3185,0.916800
10,3,5,32,1,256,0.3185,0.916400
10,4,5,32,1,256,0.3185,0.917400
10,5,5,32,1,256,0.3185,0.919400
10,6,5,32,1,256,0.3185,0.920800
