algorithm,run,seed,iteration,mean_population_fitness,std_population_fitness,best_fitness,worst_fitness,population_diversity,exploration_ratio,exploitation_ratio,unique_solution_count,repeat_rate,iteration_time
GWO,run_02,43,0,0.104,0.0,0.104,0.104,0.0,0.0,1.0,1,0.0,2.399776600068435
GWO,run_02,43,1,0.0928,0.0,0.0928,0.0928,0.0,1.0,0.0,1,0.0,2.4328060999978334
GWO,run_03,44,0,0.1018,0.0,0.1018,0.1018,0.0,0.0,1.0,1,0.0,4.6162238999968395
GWO,run_03,44,1,0.0938,0.0,0.0938,0.0938,0.0,1.0,0.0,1,0.0,3.745867400080897
PSO,run_01,42,0,0.1008,0.0,0.1008,0.1008,0.0,0.0,1.0,1,0.0,38.08545710006729
PSO,run_01,42,1,0.1008,0.0,0.1008,0.1008,0.0,0.0,1.0,1,0.0,0.0004885999951511621
WOA,run_01,42,0,0.1008,0.0,0.1008,0.1008,0.0,0.0,1.0,1,0.0,40.626759300008416
WOA,run_01,42,1,0.1008,0.0,0.1008,0.1008,0.0,0.0,1.0,1,0.0,0.0005884000565856695
RAO,run_01,42,0,0.1008,0.0,0.1008,0.1008,0.0,0.0,1.0,1,0.0,37.49249550001696
RAO,run_01,42,1,0.1044,0.0,0.1044,0.1044,0.0,0.0,1.0,1,0.0,35.898695899988525
